species	RepeatModeler_superfamily	number_of_copies_300bp	total_nucleotides	number_of_families
Rana_catesbeiana	LTR/Gypsy	120832	79436696	70
Rana_catesbeiana	LINE/L2	48262	32493162	10
Rana_catesbeiana	DNA/CMC-EnSpm	25822	11100232	8
Rana_catesbeiana	LTR/Ngaro	37662	18971064	19
Rana_catesbeiana	LTR/DIRS	96253	79169544	61
Rana_catesbeiana	DNA/hAT	159	51619	2
Rana_catesbeiana	LINE/RTE-BovB	549	284605	1
Rana_catesbeiana	SINE/V	95	30185	2
Rana_catesbeiana	LINE/RTE	38581	21204895	1
Rana_catesbeiana	LINE/CR1	41063	29905702	20
Rana_catesbeiana	DNA/hAT-Ac	139415	116572895	21
Rana_catesbeiana	DNA/TcMar-Tigger	11884	5348505	5
Rana_catesbeiana	LINE/Penelope	96276	54587823	53
Rana_catesbeiana	LINE/R1	246	120841	1
Rana_catesbeiana	DNA/PiggyBac	48077	40674900	8
Rana_catesbeiana	DNA/PIF-Harbinger	80842	77267544	7
Rana_catesbeiana	LTR/ERV1	21105	15830276	14
Rana_catesbeiana	LINE/L1-Tx1	6921	5535567	5
Rana_catesbeiana	DNA/TcMar-Mariner	613	313247	1
Rana_catesbeiana	LINE/Rex-Babar	452	225291	1
Rana_catesbeiana	LTR/Pao	8448	6022347	7
Rana_catesbeiana	DNA/hAT-Tag1	85	35785	1
Rana_catesbeiana	LTR/ERVL	4159	3378916	3
Rana_catesbeiana	LINE/RTE-X	405	274598	1
Rana_catesbeiana	DNA/TcMar-ISRm11	394	281631	1
Chrysochloris_asiatica	SINE/tRNA-RTE	24614	9623475	58
Chrysochloris_asiatica	DNA/TcMar-Mariner	34431	19312736	6
Chrysochloris_asiatica	LINE/L1	432324	312657676	82
Chrysochloris_asiatica	LINE/RTE-BovB	565768	413172123	28
Chrysochloris_asiatica	LTR/ERVL	98979	73659966	32
Chrysochloris_asiatica	LTR/ERVL-MaLR	65725	27012094	31
Chrysochloris_asiatica	DNA/hAT-Charlie	2516	1647823	6
Chrysochloris_asiatica	LTR/ERV1	10731	6402206	23
Chrysochloris_asiatica	SINE/RTE-BovB	889	388289	1
Chrysochloris_asiatica	DNA/TcMar-Tigger	5311	2252665	10
Chrysochloris_asiatica	LTR/ERVK	5107	2854852	5
Chrysochloris_asiatica	DNA/hAT-Tip100	1885	1025034	4
Chrysochloris_asiatica	DNA/Kolobok-Hydra	2387	1095545	1
Chrysochloris_asiatica	LINE/L2	526	192514	8
Chrysochloris_asiatica	DNA/PIF-Harbinger	68	45045	1
Elephantulus_edwardii	LINE/RTE-BovB	976865	684035687	75
Elephantulus_edwardii	LINE/L1	414234	289956680	61
Elephantulus_edwardii	SINE/tRNA-RTE	62972	23386789	52
Elephantulus_edwardii	LTR/ERVL	11093	5253559	15
Elephantulus_edwardii	LTR/ERV1	26403	16821503	25
Elephantulus_edwardii	LTR/ERVL-MaLR	50951	24543041	28
Elephantulus_edwardii	SINE/RTE-BovB	40901	16321933	10
Elephantulus_edwardii	DNA/CMC-EnSpm	1069	596628	1
Elephantulus_edwardii	SINE/MIR	12	3849	2
Elephantulus_edwardii	LTR/ERVK	2179	1350181	5
Elephantulus_edwardii	DNA/TcMar-Tigger	2314	832437	8
Elephantulus_edwardii	LINE/L2	15	4834	1
Elephantulus_edwardii	DNA/hAT-Charlie	697	289071	4
Elephantulus_edwardii	DNA/hAT-Tip100	220	70315	1
Elephantulus_edwardii	LTR/Gypsy	952	923619	1
Elephantulus_edwardii	DNA/Kolobok-Hydra	611	217914	1
Elephantulus_edwardii	LTR/Copia	421	175977	1
Orycteropus_afer_afer	LINE/L1	692817	549583960	118
Orycteropus_afer_afer	LINE/RTE-BovB	546653	507055574	24
Orycteropus_afer_afer	SINE/tRNA-RTE	20062	7621350	48
Orycteropus_afer_afer	LTR/ERV1	15663	9507542	26
Orycteropus_afer_afer	LTR/ERVL	82242	62383598	48
Orycteropus_afer_afer	LTR/ERVL-MaLR	178969	98442547	52
Orycteropus_afer_afer	LTR/ERV	572	278440	1
Orycteropus_afer_afer	DNA/TcMar-Tigger	13557	5824995	13
Orycteropus_afer_afer	LINE/L2	11732	5290127	13
Orycteropus_afer_afer	DNA/hAT-Blackjack	183	68998	1
Orycteropus_afer_afer	SINE/MIR	1175	389271	7
Orycteropus_afer_afer	DNA/hAT-Charlie	4358	1907558	8
Orycteropus_afer_afer	LTR/ERVK	893	337023	1
Orycteropus_afer_afer	DNA/CMC-EnSpm	1279	1226710	5
Orycteropus_afer_afer	SINE/RTE-BovB	1	310	1
Orycteropus_afer_afer	DNA/Maverick	868	1024706	1
Orycteropus_afer_afer	DNA/hAT-Tip100	3992	2674920	10
Phascolarctos_cinereus	LINE/L1	454971	444907247	106
Phascolarctos_cinereus	LINE/L2	296724	172906780	65
Phascolarctos_cinereus	SINE/MIR	62133	23472496	91
Phascolarctos_cinereus	DNA/hAT-Charlie	12333	7353130	23
Phascolarctos_cinereus	DNA/CMC-EnSpm	6210	2831881	12
Phascolarctos_cinereus	DNA/hAT-Blackjack	193	157955	1
Phascolarctos_cinereus	SINE/RTE	13195	6507298	3
Phascolarctos_cinereus	LINE/RTE-BovB	39320	25501318	17
Phascolarctos_cinereus	LINE/CR1	118744	60270856	26
Phascolarctos_cinereus	LTR/ERV1	31885	20081722	31
Phascolarctos_cinereus	LINE/Dong-R4	9537	5258613	4
Phascolarctos_cinereus	LINE/RTE-RTE	52543	29368425	13
Phascolarctos_cinereus	DNA/TcMar-Tigger	9986	4072166	11
Phascolarctos_cinereus	DNA/MULE-MuDR	752	244573	2
Phascolarctos_cinereus	LINE/RTE	1883	592761	2
Phascolarctos_cinereus	DNA/TcMar-Tc1	2614	1530151	2
Phascolarctos_cinereus	SINE/Alu	2108	665544	3
Phascolarctos_cinereus	DNA/hAT-Tip100	268	97065	1
Phascolarctos_cinereus	DNA/CMC-Chapaev-3	210	126917	1
Phascolarctos_cinereus	LTR/Gypsy	3078	1884575	4
Phascolarctos_cinereus	LTR/ERVK	1277	591456	3
Phascolarctos_cinereus	LTR/ERVL	2860	1977886	5
Phascolarctos_cinereus	DNA/hAT-Tag1	1149	616949	1
Phascolarctos_cinereus	DNA/TcMar-Mariner	92	36935	1
Monodelphis_domestica	LINE/RTE-BovB	20095	23346957	13
Monodelphis_domestica	LINE/L2	188143	102049459	57
Monodelphis_domestica	SINE/MIR	78864	31823749	66
Monodelphis_domestica	LINE/L1	559936	598516856	117
Monodelphis_domestica	LINE/CR1	70402	33900450	19
Monodelphis_domestica	LTR/ERV1	302568	243140947	301
Monodelphis_domestica	DNA/hAT-Charlie	11941	5413802	22
Monodelphis_domestica	LINE/RTE-RTE	23463	10864331	10
Monodelphis_domestica	LTR/ERVK	27092	16647937	38
Monodelphis_domestica	SINE/RTE	25232	12427679	7
Monodelphis_domestica	DNA/CMC-EnSpm	4518	14575935	6
Monodelphis_domestica	DNA/TcMar-Tigger	5253	2356403	13
Monodelphis_domestica	LINE/RTE	5364	1977121	8
Monodelphis_domestica	LINE/Dong-R4	6889	3008377	5
Monodelphis_domestica	SINE/Alu	1183	367746	1
Monodelphis_domestica	LTR/Gypsy	561	291612	2
Monodelphis_domestica	DNA/hAT-Tip100	23	7187	3
Monodelphis_domestica	DNA/TcMar-Tc1	1997	1095333	2
Monodelphis_domestica	DNA/TcMar-Mariner	3	924	1
Monodelphis_domestica	DNA/TcMar	81	25835	1
Capreolus_capreolus	LINE/RTE-BovB	289799	162970838	35
Capreolus_capreolus	LINE/L1	225751	137201668	53
Capreolus_capreolus	DNA/TcMar-Tigger	5664	3561938	6
Capreolus_capreolus	LTR/ERVL	3585	1887177	7
Capreolus_capreolus	DNA/hAT-Charlie	2596	1264818	5
Capreolus_capreolus	LINE/L2	4047	1703920	8
Capreolus_capreolus	LTR/ERV1	7110	4742118	30
Capreolus_capreolus	DNA/hAT-Tip100	362	167732	1
Capreolus_capreolus	DNA/TcMar-Mariner	3763	2191469	4
Capreolus_capreolus	LTR/ERV	293	141392	1
Capreolus_capreolus	LTR/ERVK	516	273385	2
Sarcophilus_harrisii	LINE/Penelope	174	702329	1
Sarcophilus_harrisii	LTR/ERVK	45304	28684235	37
Sarcophilus_harrisii	LINE/L1	627326	428024306	127
Sarcophilus_harrisii	LTR/Gypsy	1458	742134	3
Sarcophilus_harrisii	SINE/MIR	21917	7828321	47
Sarcophilus_harrisii	LINE/RTE-BovB	22073	15455112	15
Sarcophilus_harrisii	LTR/ERV1	19767	10411110	26
Sarcophilus_harrisii	DNA/hAT-Charlie	7137	3333113	12
Sarcophilus_harrisii	LINE/L2	179400	95803462	54
Sarcophilus_harrisii	LINE/CR1	52107	24323103	17
Sarcophilus_harrisii	DNA/CMC-EnSpm	12096	5809379	12
Sarcophilus_harrisii	LINE/RTE-RTE	29009	14761144	14
Sarcophilus_harrisii	DNA/hAT-Ac	456	195194	1
Sarcophilus_harrisii	SINE/RTE	24648	10894975	10
Sarcophilus_harrisii	LINE/RTE	137	42066	1
Sarcophilus_harrisii	DNA/hAT-Blackjack	3	900	1
Sarcophilus_harrisii	DNA/MULE-MuDR	44	13872	1
Sarcophilus_harrisii	DNA/TcMar-Tigger	4132	2182102	9
Sarcophilus_harrisii	DNA/Maverick	1	402	1
Sarcophilus_harrisii	LINE/Dong-R4	6278	3023691	4
Sarcophilus_harrisii	LTR/ERVL	998	571196	2
Sarcophilus_harrisii	DNA/TcMar-Tc1	1772	954314	2
Sarcophilus_harrisii	SINE/Alu	301	92885	2
Sarcophilus_harrisii	DNA/TcMar-Mariner	159	53485	1
Sarcophilus_harrisii	DNA/TcMar	44	14487	1
Loxodonta_africana	LINE/L1	515104	624603061	140
Loxodonta_africana	SINE/tRNA-RTE	26630	8793547	20
Loxodonta_africana	LINE/RTE-BovB	150413	129041288	9
Loxodonta_africana	LTR/ERVL	80135	54096338	58
Loxodonta_africana	LTR/ERVL-MaLR	184179	91963341	57
Loxodonta_africana	SINE/MIR	276	211236	16
Loxodonta_africana	DNA/hAT-Charlie	7113	3099469	22
Loxodonta_africana	DNA/CMC-EnSpm	2747	2029973	4
Loxodonta_africana	LINE/L2	34074	17395936	22
Loxodonta_africana	LTR/ERV1	18671	9483725	38
Loxodonta_africana	LTR/ERV	2406	1857594	1
Loxodonta_africana	DNA/hAT-Blackjack	969	375483	2
Loxodonta_africana	DNA/TcMar-Tigger	12662	7819835	25
Loxodonta_africana	DNA/hAT-Tip100	4903	3509535	11
Loxodonta_africana	DNA/TcMar-Mariner	515	387620	1
Loxodonta_africana	DNA/Kolobok-Hydra	13	4032	1
Loxodonta_africana	DNA/TcMar-Tc2	501	355198	2
Loxodonta_africana	DNA/Sola	193	74906	1
Loxodonta_africana	LINE/CR1	162	60670	1
Loxodonta_africana	LINE/RTE-X	122	39653	1
Rhincodon_typus	LINE/CR1	741579	549179418	196
Rhincodon_typus	LTR/Ngaro	15243	5491614	3
Rhincodon_typus	SINE/Deu	33131	17028067	17
Rhincodon_typus	LINE/CR1-Zenon	153196	112067583	22
Rhincodon_typus	LTR/Gypsy	73293	51789328	60
Rhincodon_typus	LINE/L1-Tx1	9663	6425778	5
Rhincodon_typus	LINE/Penelope	141692	119065019	31
Rhincodon_typus	LINE/Rex-Babar	28969	21664248	15
Rhincodon_typus	SINE/V	51646	19169425	14
Rhincodon_typus	LINE/L2	27894	12681870	13
Rhincodon_typus	LINE/L1	26482	9339942	4
Rhincodon_typus	DNA/CMC-EnSpm	3516	2125485	4
Rhincodon_typus	DNA/TcMar-Tigger	1259	1142699	2
Rhincodon_typus	DNA/hAT-Charlie	1018	662884	2
Rhincodon_typus	LINE/RTE-BovB	16805	8993626	23
Rhincodon_typus	DNA/Sola	4193	2883156	3
Rhincodon_typus	DNA/Ginger	9294	5074516	3
Rhincodon_typus	LTR/Copia	6477	4754973	6
Rhincodon_typus	DNA/PIF-Harbinger	6981	4200642	4
Rhincodon_typus	DNA/MULE-MuDR	2724	1397918	2
Rhincodon_typus	LTR/ERVL	205	237730	1
Rhincodon_typus	DNA/TcMar-Tc2	562	312960	1
Rhincodon_typus	SINE/tRNA-Glu	2766	2190596	3
Rhincodon_typus	LINE/Jockey	530	197725	2
Rhincodon_typus	SINE/tRNA-Lys	405	465277	1
Rhincodon_typus	DNA/TcMar-Pogo	798	424135	1
Rhincodon_typus	RC/Helitron	204	101830	1
Rhincodon_typus	LTR/ERV1	690	566552	1
Salmo_salar	LINE/L2	115974	119313214	53
Salmo_salar	LINE/I-Nimb	2120	1353368	5
Salmo_salar	DNA/Novosib	664	281302	4
Salmo_salar	DNA/TcMar-Tc1	322853	272246379	69
Salmo_salar	LTR/Gypsy	34910	34825194	41
Salmo_salar	SINE/5S	4584	6925980	2
Salmo_salar	LINE/Rex-Babar	92493	82742259	21
Salmo_salar	LINE/Penelope	3172	2088645	8
Salmo_salar	RC/Helitron	755	422794	2
Salmo_salar	DNA/hAT-Tol2	1559	549624	1
Salmo_salar	SINE/L2	175	61206	1
Salmo_salar	DNA/hAT	15600	10198811	16
Salmo_salar	LTR/Viper	374	326327	1
Salmo_salar	DNA/CMC-EnSpm	4948	2041020	8
Salmo_salar	DNA/Sola	562	353516	2
Salmo_salar	DNA/hAT-Charlie	8566	6462121	15
Salmo_salar	LTR/ERV1	1589	1072211	3
Salmo_salar	DNA/PIF-Harbinger	2560	1208965	6
Salmo_salar	LINE/L1-Tx1	11725	9696697	13
Salmo_salar	LINE/L1	5765	4030254	12
Salmo_salar	DNA/PIF-ISL2EU	668	372618	2
Salmo_salar	LTR/ERVK	771	382504	1
Salmo_salar	DNA/hAT-Ac	6089	3097561	20
Salmo_salar	DNA/hAT-hAT5	745	397978	1
Salmo_salar	LTR/DIRS	1396	895311	4
Salmo_salar	DNA/PiggyBac	3558	2466344	13
Salmo_salar	LINE/RTE-X	15138	11518213	13
Salmo_salar	SINE/ID	466	718824	2
Salmo_salar	DNA/TcMar-ISRm11	1923	965462	5
Salmo_salar	SINE/Deu	2572	1075316	1
Salmo_salar	LINE/I	5	1554	1
Salmo_salar	DNA/TcMar-Tc2	2396	1163420	2
Salmo_salar	DNA/TcMar	6	2357	1
Salmo_salar	DNA/hAT-hobo	921	565985	1
Salmo_salar	DNA/Kolobok-T2	493	274301	1
Salmo_salar	SINE/tRNA-Glu	350	752236	1
Salmo_salar	DNA/hAT-Tip100	1767	1052046	5
Salmo_salar	DNA/TcMar-Fot1	1095	510731	2
Salmo_salar	SINE/tRNA-Lys	2	629	1
Salmo_salar	DNA/hAT-Tag1	2239	2638764	3
Salmo_salar	LTR/Pao	405	395972	1
Salmo_salar	DNA/hAT-Blackjack	603	487482	2
Salmo_salar	DNA/Ginger	290	171754	1
Salmo_salar	DNA/P	23	7240	1
Nannospalax_galili	LINE/L1	338183	321589237	89
Nannospalax_galili	LTR/ERVL	139539	100486792	44
Nannospalax_galili	LINE/L2	5587	3198458	2
Nannospalax_galili	DNA/TcMar-Tigger	2410	818925	7
Nannospalax_galili	LTR/ERVL-MaLR	166563	62667286	44
Nannospalax_galili	SINE/Alu	234927	91894670	29
Nannospalax_galili	SINE/B2	52816	22773851	12
Nannospalax_galili	SINE/ID	6161	2092404	4
Nannospalax_galili	DNA/Novosib	9283	3213664	2
Nannospalax_galili	DNA/Sola	2	603	1
Nannospalax_galili	LTR/ERV1	59198	37424079	97
Nannospalax_galili	DNA/hAT-Charlie	8855	9129136	6
Nannospalax_galili	SINE/B4	1151	384513	1
Nannospalax_galili	LTR/Gypsy	1621	1164605	2
Nannospalax_galili	LTR/ERVK	50734	31112985	94
Nannospalax_galili	DNA/hAT	114	43000	1
Nannospalax_galili	DNA/CMC-EnSpm	3292	1590053	1
Nannospalax_galili	LINE/R1	278	126964	1
Nannospalax_galili	LTR/Copia	122	89451	1
Gekko_japonicus	SINE/5S	5791	3021217	17
Gekko_japonicus	LINE/CR1	139117	87286547	39
Gekko_japonicus	SINE/tRNA-RTE	281	110550	1
Gekko_japonicus	SINE/ID	6317	3363588	7
Gekko_japonicus	LINE/L1	56625	45482143	49
Gekko_japonicus	LTR/DIRS	16684	14261495	24
Gekko_japonicus	LINE/RTE-BovB	48163	33820513	15
Gekko_japonicus	SINE/MIR	36758	16315261	22
Gekko_japonicus	SINE/Sauria	82580	30279219	16
Gekko_japonicus	LINE/L2	88634	58355705	92
Gekko_japonicus	LTR/Gypsy	32395	35534846	19
Gekko_japonicus	DNA/hAT-Tip100	600	230422	6
Gekko_japonicus	DNA/hAT-Charlie	18796	7440161	17
Gekko_japonicus	LINE/Penelope	11242	5324991	17
Gekko_japonicus	LTR/Copia	2520	1896160	8
Gekko_japonicus	DNA/hAT-Ac	3573	2612349	6
Gekko_japonicus	LINE/Dong-R4	1444	728938	5
Gekko_japonicus	RC/Helitron	2490	1484075	1
Gekko_japonicus	LINE/RTE-X	14579	7618260	53
Gekko_japonicus	LTR/Ngaro	4719	3233955	7
Gekko_japonicus	DNA/hAT	797	340986	1
Gekko_japonicus	LINE/Jockey	1385	818935	3
Gekko_japonicus	LTR/ERVK	748	325298	3
Gekko_japonicus	LINE/Rex-Babar	745	299997	2
Gekko_japonicus	DNA/Maverick	229	143828	1
Gekko_japonicus	DNA/hAT-hAT5	148	65723	1
Gekko_japonicus	DNA/hAT-Tag1	342	240074	1
Gekko_japonicus	LTR/Caulimovirus	334	287308	1
Gekko_japonicus	DNA/CMC-EnSpm	341	186673	2
Gekko_japonicus	DNA/Ginger	5	9944	1
Jaculus_jaculus	SINE/Alu	438073	210730829	47
Jaculus_jaculus	SINE/B4	40910	18374324	28
Jaculus_jaculus	SINE/ID	22	8167	2
Jaculus_jaculus	LTR/ERVL-MaLR	141588	72363414	49
Jaculus_jaculus	LTR/ERVL	37040	19575788	29
Jaculus_jaculus	DNA/TcMar-Tigger	1897	687374	7
Jaculus_jaculus	LTR/ERV1	23666	11707061	43
Jaculus_jaculus	LINE/L1	289018	227408165	87
Jaculus_jaculus	DNA/hAT-Charlie	2641	1287188	2
Jaculus_jaculus	LTR/ERVK	15942	10588366	29
Jaculus_jaculus	DNA/MULE-MuDR	1	7660	1
Jaculus_jaculus	LINE/R1	5199	2931258	1
Jaculus_jaculus	LTR/Pao	593	242208	1
Jaculus_jaculus	SINE/B2	944	331376	2
Trichechus_manatus_latirostris	DNA/hAT-Blackjack	785	357717	2
Trichechus_manatus_latirostris	LINE/L1	479202	458276295	134
Trichechus_manatus_latirostris	LINE/RTE-BovB	230004	204336679	15
Trichechus_manatus_latirostris	SINE/MIR	4257	1636144	20
Trichechus_manatus_latirostris	LTR/ERVL	85682	63414714	62
Trichechus_manatus_latirostris	SINE/tRNA-RTE	4836	1815064	19
Trichechus_manatus_latirostris	DNA/hAT-Charlie	6815	3316251	22
Trichechus_manatus_latirostris	LTR/ERVL-MaLR	193851	96367477	73
Trichechus_manatus_latirostris	DNA/Kolobok-Hydra	2556	1062879	1
Trichechus_manatus_latirostris	DNA/TcMar-Tigger	14453	8545422	21
Trichechus_manatus_latirostris	LINE/L2	41129	21633755	28
Trichechus_manatus_latirostris	DNA/CMC-EnSpm	488	169769	3
Trichechus_manatus_latirostris	LTR/ERV1	20140	12797236	38
Trichechus_manatus_latirostris	DNA/hAT	12	5686	1
Trichechus_manatus_latirostris	DNA/Ginger	2476	1206675	1
Trichechus_manatus_latirostris	DNA/hAT-Tip100	5608	3736870	10
Trichechus_manatus_latirostris	DNA/TcMar-Tc2	340	299590	1
Trichechus_manatus_latirostris	LTR/ERVK	1674	870830	2
Trichechus_manatus_latirostris	DNA/TcMar-Mariner	489	369524	1
Trichechus_manatus_latirostris	RC/Helitron	70	24542	1
Ornithorhynchus_anatinus	SINE/MIR	572763	244598936	88
Ornithorhynchus_anatinus	LINE/L2	382555	199772162	124
Ornithorhynchus_anatinus	DNA/TcMar-Tigger	3383	1360500	10
Ornithorhynchus_anatinus	LINE/RTE-BovB	13115	5887447	18
Ornithorhynchus_anatinus	LTR/ERVL	2233	1265358	7
Ornithorhynchus_anatinus	LINE/CR1	4064	1725678	10
Ornithorhynchus_anatinus	DNA/CMC-EnSpm	50	18588	2
Ornithorhynchus_anatinus	DNA/hAT-Blackjack	461	154608	5
Ornithorhynchus_anatinus	SINE/RTE	741	277835	2
Ornithorhynchus_anatinus	LTR/DIRS	62	22749	1
Ornithorhynchus_anatinus	LINE/Dong-R4	81	34066	1
Ornithorhynchus_anatinus	LTR/ERV1	1039	597278	5
Ornithorhynchus_anatinus	LTR/Gypsy	817	856007	4
Ornithorhynchus_anatinus	DNA/hAT-Charlie	38	13783	1
Ornithorhynchus_anatinus	LINE/RTE-RTE	123	65509	1
Ornithorhynchus_anatinus	DNA/hAT-Ac	11	4136	1
Ornithorhynchus_anatinus	DNA/hAT-Tip100	908	380378	1
Ornithorhynchus_anatinus	DNA/Sola	478	425292	1
Echinops_telfairi	LINE/L1	372020	273117586	112
Echinops_telfairi	SINE/tRNA-RTE	47094	19045430	52
Echinops_telfairi	DNA/TcMar-Mariner	51409	33355011	15
Echinops_telfairi	LINE/RTE-BovB	361010	247543395	23
Echinops_telfairi	SINE/RTE-BovB	2866	905170	1
Echinops_telfairi	DNA/hAT-Charlie	14228	8014809	19
Echinops_telfairi	DNA/CMC-EnSpm	1523	622542	2
Echinops_telfairi	LTR/ERVL-MaLR	59393	29165029	31
Echinops_telfairi	LTR/ERV1	20237	11415247	41
Echinops_telfairi	LTR/ERVL	179107	95599599	62
Echinops_telfairi	DNA/TcMar-Tigger	12573	6008833	23
Echinops_telfairi	DNA/TcMar-Tc2	4520	2126927	4
Echinops_telfairi	LINE/L2	1526	770662	3
Echinops_telfairi	LTR/ERVK	2482	2264548	5
Echinops_telfairi	DNA/hAT-Blackjack	328	220070	2
Echinops_telfairi	DNA/hAT-Tip100	2204	1057888	4
Echinops_telfairi	LTR/Gypsy	4	1660	1
Echinops_telfairi	DNA/PiggyBac	243	210981	1
Xenopus_laevis	DNA/PIF-Harbinger	150394	63386571	70
Xenopus_laevis	DNA/TcMar-Tc1	18266	12174898	33
Xenopus_laevis	DNA/hAT-Ac	41041	15129169	38
Xenopus_laevis	LINE/CR1	54106	33674585	33
Xenopus_laevis	DNA/Kolobok-T2	262715	115013040	94
Xenopus_laevis	DNA/PiggyBac	8844	5935452	10
Xenopus_laevis	LTR/Gypsy	66122	36489333	86
Xenopus_laevis	LINE/Penelope	20820	13438139	57
Xenopus_laevis	LTR/DIRS	9210	7242385	18
Xenopus_laevis	DNA/CMC-EnSpm	26	9702	1
Xenopus_laevis	DNA/hAT-Charlie	34227	11628751	22
Xenopus_laevis	DNA/TcMar-Tigger	56009	19498806	9
Xenopus_laevis	LTR/ERVK	244	79821	1
Xenopus_laevis	LINE/L1	17545	12089706	41
Xenopus_laevis	DNA/TcMar-Tc2	1011	318736	1
Xenopus_laevis	LINE/L2	14672	9778762	31
Xenopus_laevis	LTR/Pao	1652	1112353	5
Xenopus_laevis	LINE/L1-Tx1	1485	1335515	4
Xenopus_laevis	RC/Helitron	439	275694	1
Xenopus_laevis	DNA/hAT-Tip100	3898	1486835	11
Xenopus_laevis	DNA/hAT	1505	496012	13
Xenopus_laevis	LINE/Rex-Babar	1905	1243833	7
Xenopus_laevis	DNA/MULE-MuDR	254	114321	3
Xenopus_laevis	DNA/TcMar	899	315187	1
Xenopus_laevis	DNA/hAT-Blackjack	174	55416	3
Xenopus_laevis	LTR/ERVL	178	79944	1
Xenopus_laevis	LTR/Copia	1009	461923	5
Xenopus_laevis	LTR/Ngaro	780	562805	2
Xenopus_laevis	LTR/Copia(Xen1)	287	151554	1
Xenopus_laevis	LTR/ERV1	137	70350	1
Notamacropus_eugenii	LINE/L1	421334	333258098	112
Notamacropus_eugenii	LINE/RTE-RTE	23727	10544751	12
Notamacropus_eugenii	LINE/L2	199537	105128849	64
Notamacropus_eugenii	SINE/MIR	58625	21532267	71
Notamacropus_eugenii	LINE/CR1	68737	32366943	24
Notamacropus_eugenii	DNA/CMC-EnSpm	7286	2799039	7
Notamacropus_eugenii	DNA/MULE-MuDR	1	377	1
Notamacropus_eugenii	DNA/Kolobok-T2	2063	908510	1
Notamacropus_eugenii	DNA/hAT-Charlie	5679	2925758	20
Notamacropus_eugenii	SINE/RTE	24816	10485358	15
Notamacropus_eugenii	DNA/TcMar-Mariner	137	46071	1
Notamacropus_eugenii	LTR/ERVL	31755	15398423	28
Notamacropus_eugenii	LTR/ERV1	25355	13911536	33
Notamacropus_eugenii	DNA/TcMar-Tc1	1865	1009010	2
Notamacropus_eugenii	LTR/ERVK	6221	3187898	3
Notamacropus_eugenii	DNA/TcMar-Tigger	3262	1479093	6
Notamacropus_eugenii	LINE/RTE	1250	436536	4
Notamacropus_eugenii	DNA/hAT-Blackjack	51	16612	2
Notamacropus_eugenii	LINE/RTE-BovB	22193	19712399	16
Notamacropus_eugenii	LTR/Gypsy	1970	1043608	6
Notamacropus_eugenii	SINE/Alu	961	296926	2
Notamacropus_eugenii	DNA/TcMar	39	12249	1
Notamacropus_eugenii	LINE/Dong-R4	7084	3575259	5
Notamacropus_eugenii	LINE/R1	174	76365	1
Octodon_degus	SINE/Alu	77863	30351122	38
Octodon_degus	LTR/ERV1	34587	19313532	45
Octodon_degus	LINE/L1	371990	305522057	127
Octodon_degus	SINE/ID	13144	6787450	12
Octodon_degus	LTR/ERVL-MaLR	108682	50943940	47
Octodon_degus	DNA/TcMar-Mariner	11071	4634817	3
Octodon_degus	DNA/TcMar-Tigger	8877	3890438	17
Octodon_degus	LTR/ERVK	16597	9027805	23
Octodon_degus	LTR/ERVL	28340	15988687	23
