query	subject	qStart	qEnd	sStart	sEnd
gi|460718299|ref|NW_004443996.1|:8523838:8525669:-	gi|460718271|ref|NW_004444024.1|:2790776:2793115:+	7	1809	1792	13
gi|1078571491|ref|NW_017372052.1|:7873734:7874955:-	gi|1104753431|ref|NW_017613867.1|:24998069:24998610:-	14	558	3	541
gi|1154410190|ref|NW_018085664.1|:991529:992310:-	gi|1154409969|ref|NW_018085885.1|:314876:316088:-	41	782	243	1008
NC_012614.1:16496558:16498561:-	NC_012599.1:40460369:40463647:-	1	2004	281	2279
ref|NW_012234317.1|:1479985:1480459:-	ref|NW_012234361.1|:1237998:1238471:+	1	475	474	1
gi|505753859|ref|NW_004558716.1|:11223968:11226252:+	gi|505751931|ref|NW_004558727.1|:34817432:34818226:-	373	1157	792	1
LIAG010251392.1:2074:3060:-	LIAG010296131.1:4163:5187:-	1	982	1	984
ref|NW_018358326.1|:974714:976365:-	ref|NW_018361651.1|:10154:10837:-	532	1208	1	673
ref|NW_019170552.1|:15875335:15876992:-	ref|NW_019172340.1|:338805:340445:-	1	1658	3	1641
gi|656460576|ref|NW_007578364.1|:110178:111557:-	NC_035091.1:12661115:12662351:-	139	1182	180	1225
gi|1041775292|ref|NC_030416.1|:8637719:8638407:+	gi|1041774680|ref|NW_016097906.1|:1962025:1962663:+	2	424	219	639
gi|924428065|ref|NW_013952402.1|:10519397:10520351:+	ref|NW_012234315.1|:1523653:1524304:-	131	785	651	2
LKNJ01003617.1:28703:30109:-	LKNJ01006834.1:15018:16427:+	1	1407	1410	4
ref|NW_019170548.1|:2283625:2284579:-	ref|NW_019172925.1|:6159076:6160641:+	3	955	1564	612
gi|925216783|ref|NC_027300.1|:142330315:142331943:-	gi|925216696|ref|NC_027322.1|:47876692:47878323:-	1	1621	6	1632
gi|1041774863|ref|NW_016097723.1|:618061:619688:-	gi|1041774715|ref|NW_016097871.1|:427953:429472:-	1	1539	2	1520
NIVO01001241.1:195060:197663:-	NIVO01042498.1:809281:811823:-	4	2490	67	2542
FLSR01004878.1:2129916:2131061:+	FLSR01004885.1:22567085:22568268:-	293	1088	828	1
KV751328.1:1717366:1718995:+	KV751333.1:4277454:4279086:-	1	1630	1633	4
gi|1127425672|ref|NW_017844710.1|:69665289:69668310:+	gi|1127425664|ref|NW_017844718.1|:98588711:98592019:-	1	3014	3023	5
gi|924427021|ref|NW_013952813.1|:63458:64476:+	gi|1019159094|ref|NW_015505203.1|:2754972:2756542:+	1	1019	337	1356
gi|640753755|ref|NW_007370680.1|:4124261:4125071:-	gi|640753753|ref|NW_007370682.1|:414704:415479:-	1	760	1	761
gi|930648427|ref|NW_014013852.1|:8245728:8251829:+	gi|930648330|ref|NW_014013949.1|:648547:654188:-	477	6102	5642	6
LIAG010253906.1:1845:2855:+	LIAG010463377.1:543:1596:-	6	834	826	1
FLSR01000103.1:23277:24076:-	FLSR01004876.1:14092184:14092684:-	76	592	1	501
gi|808396816|ref|NW_012133858.1|:756563:758534:+	gi|808391030|ref|NW_012139636.1|:3810767:3812736:-	6	1970	1965	3
KV751320.1:10761858:10762918:+	KV751330.1:8439463:8440516:+	38	1039	3	1017
gi|901929163|ref|NW_013185666.1|:153626:153999:-	gi|701007172|ref|NW_009986706.1|:2041:2416:-	1	337	40	376
KN473947.1:592:2135:+	KN475312.1:8656:9554:+	44	919	7	899
gi|545793486|ref|NW_005187437.1|:687963:689530:+	gi|545793374|ref|NW_005187549.1|:680237:681803:+	1	1567	1	1567
gi|1049006342|ref|NW_016683366.1|:90218432:90220040:+	gi|1049006343|ref|NW_016683365.1|:27786382:27787970:+	1	1609	1	1587
LIAG010143420.1:7643:9100:+	LIAG010477528.1:2083:3716:+	1	1458	186	1634
gi|924427194|ref|NW_013952640.1|:671817:672983:-	gi|924426660|ref|NW_013953130.1|:250733:252759:-	17	1167	1	1134
gi|924428023|ref|NW_013952444.1|:1507348:1508251:+	gi|924427349|ref|NW_013952511.1|:1021391:1022294:+	5	903	5	904
NC_035083.1:17175170:17176499:+	NC_035105.1:34034658:34035943:+	286	1328	1	1022
gi|925216691|ref|NC_027324.1|:40549421:40551026:+	gi|925216780|ref|NC_027301.1|:6770863:6772464:+	1	1606	2	1602
KE993775.1:566617:568225:-	KE993818.1:495723:496835:-	1	1110	1	1110
gi|505751237|ref|NW_004558741.1|:9233774:9236526:+	gi|505744607|ref|NW_004563733.1|:11:1554:+	1006	2520	1	1535
PIZI01000003.1:7329506:7331109:-	PIZI01000014.1:3091289:3092897:-	2	1604	1	1607
KN469861.1:27609:29154:-	KN485416.1:14103:14945:+	370	907	572	1
gi|925216686|ref|NC_027325.1|:4853000:4853873:+	gi|925126884|ref|NW_012364956.1|:1:881:+	1	874	30	881
gi|924427373|ref|NW_013952487.1|:1470192:1471788:+	gi|924427214|ref|NW_013952620.1|:535153:536752:+	2	1588	1	1592
NC_035077.1:69902910:69903929:+	NC_035081.1:78609020:78610052:+	15	929	105	1013
NC_029652.1:30470872:30474197:+	NW_015444122.1:66380:67640:+	1	1268	1	1256
gi|1074017795|ref|NW_017367107.1|:395741:396066:+	BADN01053841.1:4208:4564:+	23	326	12	316
LIAG010327948.1:1746:3386:+	LIAG010352978.1:2051:3643:-	56	1637	1571	1
gi|1040650370|ref|NW_016094246.1|:1543643:1544382:+	gi|1040650357|ref|NW_016094259.1|:4761991:4762658:-	127	534	579	164
gi|1154410454|ref|NW_018085400.1|:685350:686592:-	gi|1154409052|ref|NW_018086802.1|:1237335:1238762:+	1	1243	1268	1
gi|1109077668|ref|NW_017620050.1|:1034882:1036112:-	gi|1109076622|ref|NW_017620136.1|:48227:49472:+	348	1216	1246	380
gi|1019156398|ref|NW_015505427.1|:861209:861789:-	gi|1019145052|ref|NW_015506507.1|:12134:13470:-	1	581	73	653
gi|925216783|ref|NC_027300.1|:123300301:123301659:-	gi|925216751|ref|NC_027306.1|:4860070:4861112:-	195	742	1	538
CM008025.1:64130520:64134102:-	CM008040.1:100467768:100469284:+	1760	3224	1515	38
gi|1154410135|ref|NW_018085719.1|:4530316:4531729:+	gi|1154410009|ref|NW_018085845.1|:2619905:2621426:-	273	1414	1216	96
gi|1047493338|ref|NW_016244050.1|:21446:23008:-	gi|1047493177|ref|NW_016244211.1|:350222:351458:+	1	1239	1237	2
gi|778120963|ref|NW_012005490.1|:173060:174728:+	gi|778101509|ref|NW_012008362.1|:37421660:37423789:-	707	1669	2130	1168
NW_018536793.1:3184:4824:+	NC_035085.1:51698047:51699681:+	1	1639	1	1635
gi|557499210|ref|NW_005871143.1|:3601457:3602263:+	gi|557489010|ref|NW_005873323.1|:17280:18091:-	1	794	794	1
gi|957807189|ref|NW_014639036.1|:39229515:39232007:+	gi|957807195|ref|NW_014639030.1|:49612710:49615324:+	3	2485	209	2615
LTYT01002650.1:107969:108809:-	BADN01106156.1:2103:3044:+	726	1	1	703
LIAG011077353.1:1:1171:+	LIAG011123959.1:1:1042:-	57	1112	1042	1
NW_010793413.1:1179215:1181282:+	NW_010803005.1:19966:22881:+	14	2039	905	2908
gi|1078571863|ref|NW_017371680.1|:9673572:9674660:-	NC_029649.1:27063377:27064899:-	3	1069	107	1167
KV751318.1:12974335:12974646:-	KV751343.1:3662211:3662672:-	1	312	157	462
gi|925216711|ref|NC_027315.1|:7748093:7748649:-	gi|925216704|ref|NC_027318.1|:63954157:63954973:+	1	557	562	1
gi|1097004425|ref|NW_017546128.1|:10537:12508:+	gi|1097003853|ref|NW_017546700.1|:747:3829:-	4	1972	2032	56
CAAE01014676.1:183594:184816:+	BADN01073056.1:312:930:-	100	719	619	1
gi|1041774938|ref|NW_016097648.1|:75590:76898:+	gi|1041774841|ref|NW_016097745.1|:7250224:7251373:+	1	1014	126	1138
gi|1097093765|ref|NW_017537738.1|:14716408:14717890:-	gi|1097085624|ref|NW_017538291.1|:84029:85144:+	545	1474	1116	199
gi|1154410458|ref|NW_018085396.1|:4142678:4144544:+	PIZI01000021.1:1744306:1745360:+	351	1286	119	1055
gi|924426954|ref|NW_013952836.1|:305323:305788:-	gi|550153531|ref|NW_005372276.1|:660531:662090:-	1	466	925	1379
AANH01005992.1:37112:38685:-	AANH01010364.1:84174:85114:+	169	1027	863	3
ref|NW_019174336.1|:2841009:2841618:-	ref|NW_018394322.1|:8068163:8068621:-	1	482	7	459
AAPY01834605.1:1:1446:-	AAPY01498255.1:3:1880:+	1	1369	1367	1
AANH01015575.1:7420:7921:+	AANH01016503.1:1800:3124:+	1	502	1	528
KQ556844.1:27220553:27221509:+	KQ556858.1:25091120:25091866:+	1	653	85	747
NC_035097.1:36617077:36618565:-	NC_035084.1:74685651:74687293:-	30	1489	50	1511
ref|NW_018394294.1|:10791137:10792347:-	ref|NW_001878094.5|:558543:559736:-	3	1209	1	1194
gi|1049006348|ref|NW_016683360.1|:142191922:142193545:-	gi|1049006346|ref|NW_016683362.1|:92950465:92952084:-	3	1622	1	1620
gi|808396817|ref|NW_012133857.1|:16502004:16504464:+	gi|808391586|ref|NW_012139080.1|:6662108:6664057:-	494	2457	1949	5
gi|1047493118|ref|NW_016244270.1|:389819:391164:-	gi|1047493569|ref|NW_016243819.1|:1680410:1681837:+	1	1346	1426	104
gi|557506343|ref|NW_005871050.1|:15318237:15319059:-	gi|557499180|ref|NW_005871173.1|:3631107:3631907:+	16	810	801	7
gi|924427273|ref|NW_013952579.1|:221103:221567:+	KN465467.1:5691:6208:+	26	465	72	506
PIZI01000019.1:12569607:12571215:-	PIZI01000007.1:4881716:4883328:+	5	1609	1609	1
PIZI01000025.1:13162756:13164058:+	PIZI01000046.1:1820598:1822186:-	3	1302	298	1589
gi|1019157861|ref|NW_015505301.1|:463946:464784:+	gi|1019120065|ref|NW_015508947.1|:1351:1938:-	251	834	587	6
gi|1154409786|ref|NW_018086068.1|:851089:852642:-	gi|1154409284|ref|NW_018086570.1|:24963:26351:-	220	1343	131	1283
gi|1104753209|ref|NW_017613882.1|:642485:643486:+	gi|1104748672|ref|NW_017616304.1|:8660:9953:+	6	995	307	1294
gi|557457559|ref|NW_005854412.1|:478267:480918:-	gi|557453087|ref|NW_005858884.1|:258191:260842:-	1	2652	1	2652
JACL01042561.1:24388:25021:+	KN468104.1:90332:90704:+	262	634	1	373
gi|1049006344|ref|NW_016683364.1|:8830233:8831768:-	gi|1049006272|ref|NW_016683436.1|:87403:88988:-	1	1536	1	1524
gi|1104753174|ref|NW_017613884.1|:30728981:30730018:+	gi|1104752573|ref|NW_017614170.1|:15474:17107:-	6	1038	1067	9
ref|NW_019170550.1|:36578972:36580573:-	ref|NW_019170555.1|:21587590:21589201:-	1	1602	10	1612
LTYT01002070.1:25921:27491:+	LTYT01002639.1:110150:110867:+	837	1386	1	563
gi|778155021|ref|NW_012011967.1|:2678562:2680119:-	gi|778160482|ref|NW_012011167.1|:10277688:10279653:+	3	736	756	1
gi|656464527|ref|NW_007577817.1|:526192:526863:-	gi|698373982|ref|NW_009710807.1|:67332:67996:-	14	488	179	665
gi|961437790|ref|NW_015112799.1|:644226:644825:-	gi|961435770|ref|NW_015114728.1|:63830:64290:-	1	463	1	461
gi|1041774929|ref|NW_016097657.1|:18180895:18182136:-	gi|1041775010|ref|NW_016097576.1|:2075505:2076628:-	123	1242	1	1124
ref|NC_035898.1|:16190716:16192324:-	ref|NW_019170539.1|:24863371:24864985:+	2	1609	1615	1
gi|1022127731|ref|NW_015547716.1|:299812:301002:-	gi|1022168143|ref|NW_015540892.1|:1745571:1746595:-	21	538	511	1025
NC_035078.1:7680567:7682401:+	NC_035103.1:43553018:43554863:+	1	1835	1	1846
LIAG010290030.1:4117:5612:+	LIAG010680342.1:2696:3871:-	321	1496	1176	1
gi|1167782722|ref|NW_018127983.1|:1902562:1904176:+	gi|1167782517|ref|NW_018128083.1|:1057262:1058873:+	2	1613	1	1612
LVKQ01S007981.1:36643:37692:-	LVKQ01S012543.1:203060:203921:+	1	860	862	3
NC_019865.2:28040184:28043672:-	NC_019869.2:8496300:8499862:-	1	2926	1	2931
PIZI01000019.1:4349615:4351981:+	PIZI01000253.1:108295:110689:+	200	2161	171	2132
ref|NW_001877080.4|:268592:269770:+	ref|NW_003040660.4|:2898844:2900062:-	40	1179	1179	3
gi|730053616|ref|NW_011044462.1|:11229506:11234398:-	gi|730053498|ref|NW_011044580.1|:3699043:3705557:-	1	4893	9	4902
gi|1040650048|ref|NW_016094568.1|:226860:228106:-	gi|1040649951|ref|NW_016094665.1|:226454:227235:+	210	974	780	1
gi|1104753400|ref|NW_017613869.1|:39379739:39383893:-	gi|1104753381|ref|NW_017613870.1|:54772379:54774548:-	1448	3623	1	2170
LVCR01010483.1:11157:11913:-	LVCR01031333.1:7016:7420:-	368	751	1	399
gi|1104753431|ref|NW_017613867.1|:16995651:16996345:+	gi|1104749456|ref|NW_017615909.1|:64301:64985:+	8	695	1	685
NC_029649.1:77923966:77924904:+	NW_015444039.1:62207:62889:+	1	694	1	681
NC_035079.1:20349512:20350919:+	NC_035104.1:19933625:19935003:+	140	1408	106	1379
PIZI01000005.1:14253712:14255323:-	PIZI01000001.1:23017780:23019386:+	2	1612	1607	1
LTYT01002584.1:188550:189123:-	LKTN01065286.1:4146:4803:-	27	490	171	641
ref|NW_008805272.2|:793226:794058:-	ref|NW_018394300.1|:1837238:1838379:+	1	833	1131	311
gi|778157685|ref|NW_012011577.1|:25774968:25777087:-	gi|778131043|ref|NW_012013655.1|:342386:345004:-	20	2108	1	2089
gi|924427187|ref|NW_013952647.1|:485531:487127:+	gi|924426472|ref|NW_013953291.1|:125137:126692:+	381	1595	345	1556
gi|570364465|ref|NW_006270024.1|:3409803:3410741:-	gi|570364620|ref|NW_006269869.1|:1540433:1542356:-	129	925	7	778
PIZI01000010.1:12353562:12355015:-	PIZI01000011.1:5658848:5660457:+	1	1454	1609	150
LIAG010000587.1:5602:7028:-	LIAG010253906.1:1845:2855:+	293	1200	914	7
gi|570364491|ref|NW_006269998.1|:59612:61218:+	JACN01130110.1:1818:2602:-	806	1581	757	1
NC_035084.1:63890629:63892265:+	NC_035079.1:63927679:63929315:+	1	1637	2	1637
ref|NW_018362034.1|:1942293:1942760:+	ref|NW_018361085.1|:1452135:1452516:-	1	354	363	6
gi|1047493569|ref|NW_016243819.1|:3324352:3325219:-	gi|1047453883|ref|NW_016279878.1|:1:641:-	1	576	19	615
ref|NW_019170540.1|:16077944:16079548:-	ref|NW_019170542.1|:9613066:9614674:+	1	1605	1609	1
NW_003642368.1:1:945:+	NW_010804010.1:278248:279571:-	945	2	364	1307
gi|786082799|ref|NW_012101687.1|:6361107:6362810:+	gi|786069501|ref|NW_012104698.1|:2717427:2719156:+	1	1683	37	1718
gi|1070655951|ref|NW_017306299.1|:1325997:1326926:+	gi|1070653117|ref|NW_017309132.1|:85739:86294:+	353	930	1	556
NIVO01050532.1:302977:305964:-	NIVO01045721.1:58041:61441:-	27	2988	18	3007
gi|1104753341|ref|NW_017613873.1|:18338019:18339628:-	gi|1104753240|ref|NW_017613880.1|:8596914:8598523:-	1	1610	1	1610
NIVO01002001.1:979389:981142:+	NIVO01077244.1:2481247:2482045:-	926	1748	799	3
LIAG010609571.1:2478:3803:+	LIAG010808728.1:339:1517:-	2	1030	1033	10
LTYT01026550.1:2404:3024:+	gi|573894865|ref|NW_006272053.1|:1657570:1657981:-	607	271	69	407
NC_035080.1:64031872:64033424:-	NC_035086.1:33007442:33008437:+	4	984	990	1
CM008022.1:52171762:52173142:-	CM008028.1:53358236:53359347:-	1	875	237	1112
gi|1041774774|ref|NW_016097812.1|:1434883:1436077:-	gi|1041774774|ref|NW_016097812.1|:1807126:1808934:-	11	1193	7	1197
KV751324.1:21443073:21443793:-	LIAG010195346.1:2223:2932:-	22	711	1	679
NW_010815769.1:3674482:3676552:+	NW_010818487.1:572714:576392:-	1	2059	2027	1
gi|1154408920|ref|NW_018086934.1|:1405521:1407081:+	gi|1154410013|ref|NW_018085841.1|:74148:75418:+	336	1424	1	1098
gi|1022164902|ref|NW_015544133.1|:197356:198074:+	gi|1022129345|ref|NW_015546102.1|:1114532:1115233:+	6	706	1	702
ref|NW_001879283.5|:2487518:2488763:+	ref|NW_018394289.1|:1196114:1197364:+	1	1246	14	1221
AANH01000512.1:205146:206523:+	AANH01012986.1:9744:12749:-	1	1378	1373	1
gi|778163465|ref|NW_012000820.1|:3125929:3126945:+	gi|778154567|ref|NW_012002181.1|:29488900:29489804:+	295	1017	1	725
KV751317.1:22349741:22352950:-	KV751344.1:893182:896387:+	1	3206	3206	1
PIZI01000018.1:9979011:9980307:-	PIZI01000033.1:11884619:11885990:-	1	1157	211	1372
gi|1047483342|ref|NW_016253491.1|:1:1376:-	gi|1047493586|ref|NW_016243802.1|:1530511:1531928:+	1	1287	1283	1
KN613695.1:31839:33309:-	KN631337.1:98599:99274:+	1	692	676	1
gi|1154410461|ref|NW_018085393.1|:473647:475186:-	gi|1154409123|ref|NW_018086731.1|:3407693:3409146:+	3	1218	1453	261
gi|1041774946|ref|NW_016097640.1|:15309837:15311269:-	gi|1041774805|ref|NW_016097781.1|:1086814:1088432:-	1	1430	198	1619
ref|NW_012224778.1|:350935:351457:+	KE993853.1:453000:454099:+	2	523	371	880
CYUI01014922.1:1423214:1423998:+	CYUI01015107.1:2549037:2549511:+	1	472	1	472
gi|1049006340|ref|NW_016683368.1|:12468016:12469655:+	gi|1049006347|ref|NW_016683361.1|:22418282:22419922:+	1	1640	1	1640
LIAG010239989.1:879:2355:-	LIAG010469778.1:1:1396:-	102	1477	1	1374
NC_035085.1:53961502:53962912:-	NC_035101.1:65191176:65192585:-	1	1185	226	1410
NC_035077.1:69902910:69903929:+	NC_035082.1:19122492:19123091:+	253	851	1	600
gi|1097085657|ref|NW_017538258.1|:1508937:1509325:-	gi|1097004393|ref|NW_017546160.1|:2807:3177:-	27	389	1	364
NW_006159660.1:236605:237705:+	NW_006159858.1:2260421:2261157:-	188	868	702	30
CM003013.1:41295354:41297277:+	CM003015.1:65314437:65316114:-	1	1229	1234	5
ref|NW_019170539.1|:976960:978143:-	gi|1097095704|ref|NW_017537715.1|:5450334:5451397:+	1076	2	1	1050
KN486199.1:7036:8606:+	JACM01016404.1:93752:94756:-	450	1514	1002	1
ref|NW_019170535.1|:11381802:11382323:-	ref|NW_019172898.1|:352623:353141:+	1	518	517	19
gi|735089051|ref|NW_011494738.1|:1460953:1465977:-	gi|735088979|ref|NW_011494810.1|:635472:637360:+	237	2110	1889	1
gi|1070655170|ref|NW_017307080.1|:280034:281001:-	gi|1070653910|ref|NW_017308339.1|:10324:11615:-	418	959	1	542
gi|925216769|ref|NC_027303.1|:68648314:68649886:+	gi|925216702|ref|NC_027319.1|:55536983:55538313:+	276	1573	1	1331
gi|829748455|ref|NW_012219467.1|:930935:932097:+	gi|829723103|ref|NW_012221794.1|:1965781:1966439:-	500	1159	658	1
ref|NW_019170555.1|:10632077:10633689:+	ref|NW_019170539.1|:37864372:37865981:+	1	1608	1	1608
ref|NW_012224702.1|:436429:436891:+	ref|NW_012224676.1|:383762:384438:+	6	463	218	677
LIAG010389937.1:3914:4948:-	LIAG010822955.1:1:811:-	447	1035	1	620
ref|NW_019172945.1|:2224066:2224886:+	ref|NW_019170556.1|:14447623:14448297:+	146	821	4	675
BBOV01046973.1:3:327:+	gi|829737603|ref|NW_012220424.1|:1816:2825:+	6	325	113	433
gi|1070655964|ref|NW_017306286.1|:1582207:1583407:+	gi|1070652874|ref|NW_017309375.1|:19880:20891:+	225	1201	19	1011
KE993929.1:719183:721193:-	APJL01103797.1:893:2895:+	1	2011	2003	1
gi|925216725|ref|NC_027309.1|:82237199:82238116:+	gi|924927904|ref|NW_012472958.1|:466:1311:-	84	918	845	1
NC_012596.1:92256317:92257257:+	NC_012600.1:93490519:93492603:+	88	941	1	847
NC_035094.1:28323607:28325208:-	NW_018525368.1:7541:8862:-	267	1602	1	1322
gi|1167782799|ref|NW_018127922.1|:1325799:1327034:+	gi|1167782449|ref|NW_018128142.1|:21130:22550:+	1	1223	2	1225
KQ557211.1:24995785:24996443:-	KV751334.1:3708590:3709090:+	14	357	325	6
ref|NW_019170549.1|:6173330:6175155:+	ref|NW_019171016.1|:83:1893:-	1	1804	1811	18
gi|960326602|ref|NW_014804689.1|:6325531:6327789:+	gi|960113111|ref|NW_014984288.1|:1:1677:+	39	1720	1	1677
NC_012595.1:172325411:172326385:-	NC_012614.1:78840185:78840762:+	148	725	578	1
gi|730054414|ref|NW_011043664.1|:1524817:1532531:+	gi|730053948|ref|NW_011044130.1|:1313645:1320234:-	1120	7707	6587	1
gi|1097093529|ref|NW_017537740.1|:16485997:16487037:+	gi|1097093425|ref|NW_017537741.1|:2720823:2722025:+	1	1035	185	1197
gi|1127293066|ref|NW_017805076.1|:620800:621266:+	gi|829730067|ref|NW_012221149.1|:3209814:3210526:+	1	466	249	713
gi|1154410052|ref|NW_018085802.1|:456483:457926:-	gi|1154409262|ref|NW_018086592.1|:576453:577830:-	9	1379	1	1340
gi|1154408984|ref|NW_018086870.1|:6525541:6527173:+	gi|1154410364|ref|NW_018085490.1|:250324:251953:+	1	1633	4	1630
LIAG010167727.1:1145:1889:-	LIAG010177012.1:1228:1833:-	165	742	1	579
gi|735088894|ref|NW_011494895.1|:1759800:1762992:-	gi|735088707|ref|NW_011495082.1|:4611656:4614857:-	5	3193	1	3202
CAEA01372833.1:39:657:-	gi|1097095694|ref|NW_017537723.1|:3001997:3003396:+	616	1	559	1174
NC_035089.1:33125907:33126768:-	NC_035103.1:33260290:33261336:-	175	862	162	852
CM004097.1:13264361:13267132:+	LVXV01026515.1:426:1678:-	276	1534	1253	1
gi|1041775292|ref|NC_030416.1|:20683805:20685052:+	gi|698343772|ref|NW_009730153.1|:695:1209:+	149	614	50	515
gi|1097085769|ref|NW_017538183.1|:205475:206386:+	gi|1097085676|ref|NW_017538239.1|:762596:763932:+	1	912	1	927
gi|616209278|ref|NW_006890079.1|:5689165:5690120:+	gi|616192026|ref|NW_006890120.1|:4136799:4137866:-	1	817	908	91
gi|1053598554|ref|NW_016803392.1|:603547:605136:-	gi|1053596523|ref|NW_016805423.1|:488897:491125:+	1	699	701	3
KN460386.1:99120:100200:-	KN467535.1:209730:210200:+	67	489	436	6
gi|555311638|ref|NW_005841939.1|:3397466:3398760:-	gi|555310902|ref|NW_005842675.1|:724566:725069:-	61	552	1	491
