copy	start	end	protStart	rev
gi|924426830|ref|NW_013952960.1|:180872:182230:+	124	1131	124	FALSE
gi|924426794|ref|NW_013952996.1|:230702:231912:+	12	398	12	FALSE
gi|924426794|ref|NW_013952996.1|:230702:231912:+	419	657	419	FALSE
gi|924426794|ref|NW_013952996.1|:230702:231912:+	665	885	658	FALSE
gi|924426681|ref|NW_013953109.1|:170808:172420:-	224	1240	1240	TRUE
gi|924426660|ref|NW_013953130.1|:250733:252759:-	19	425	426	TRUE
gi|924426660|ref|NW_013953130.1|:250733:252759:-	427	2024	2024	TRUE
gi|924426472|ref|NW_013953291.1|:125137:126692:+	333	1232	333	FALSE
gi|924426472|ref|NW_013953291.1|:125137:126692:+	1234	1338	1234	FALSE
gi|924425607|ref|NW_013953940.1|:57911:58405:-	60	494	494	TRUE
gi|924424561|ref|NW_013954221.1|:5026:6638:+	374	1390	374	FALSE
gi|590107106|ref|NW_006724458.1|:33165995:33170269:-	379	4194	4194	TRUE
gi|590106043|ref|NW_006725521.1|:148283:148964:-	2	682	682	TRUE
gi|590095140|ref|NW_006730234.1|:10192827:10198095:-	207	695	695	TRUE
gi|590095140|ref|NW_006730234.1|:10192827:10198095:-	698	4006	4006	TRUE
gi|590094029|ref|NW_006731345.1|:3123462:3123806:+	1	345	1	FALSE
gi|735089051|ref|NW_011494738.1|:1460953:1465977:-	398	3931	3931	TRUE
gi|735089051|ref|NW_011494738.1|:1460953:1465977:-	4114	4172	4482	TRUE
gi|735089051|ref|NW_011494738.1|:1460953:1465977:-	4483	4781	4781	TRUE
gi|735089051|ref|NW_011494738.1|:1460953:1465977:-	4796	4987	4987	TRUE
gi|735088979|ref|NW_011494810.1|:635472:637360:+	44	1843	44	FALSE
gi|735088894|ref|NW_011494895.1|:1759800:1762992:-	144	3083	3083	TRUE
gi|735088847|ref|NW_011494942.1|:6485622:6488083:+	6	2450	6	FALSE
gi|735088754|ref|NW_011495035.1|:8638384:8639411:+	2	1009	2	FALSE
gi|735088707|ref|NW_011495082.1|:4611656:4614857:-	115	2805	2805	TRUE
gi|735088707|ref|NW_011495082.1|:4611656:4614857:-	2808	3092	3092	TRUE
ref|NW_018351404.1|:6033335:6034829:-	251	1495	1495	TRUE
ref|NW_018352293.1|:74067:74640:-	9	539	539	TRUE
ref|NW_018354071.1|:512464:514107:-	6	1141	1142	TRUE
ref|NW_018354071.1|:512464:514107:-	1143	1486	1486	TRUE
ref|NW_018354372.1|:414342:415012:-	28	669	669	TRUE
ref|NW_018354996.1|:523156:523835:+	1	422	1	FALSE
ref|NW_018354996.1|:523156:523835:+	424	656	423	FALSE
ref|NW_018355647.1|:1216274:1216705:-	13	432	432	TRUE
ref|NW_018357094.1|:291385:293047:+	159	1658	159	FALSE
ref|NW_018357671.1|:82903:84562:+	174	1655	174	FALSE
ref|NW_018358326.1|:974714:976365:-	6	1505	1505	TRUE
ref|NW_018358530.1|:34970:35976:-	3	1007	1007	TRUE
ref|NW_018361085.1|:1452135:1452516:-	1	381	381	TRUE
ref|NW_018361464.1|:5427606:5428237:-	7	630	630	TRUE
ref|NW_018361651.1|:10154:10837:-	3	490	494	TRUE
ref|NW_018361651.1|:10154:10837:-	495	676	676	TRUE
ref|NW_018362034.1|:1942293:1942760:+	1	441	1	FALSE
gi|1127425664|ref|NW_017844718.1|:89094478:89095445:+	20	952	20	FALSE
gi|1127425664|ref|NW_017844718.1|:98588711:98592019:-	19	3129	3129	TRUE
gi|1127425661|ref|NW_017844721.1|:21927562:21928603:-	2	1027	2	FALSE
gi|1127419813|ref|NW_017844724.1|:24670146:24671011:+	25	606	606	TRUE
gi|1127419813|ref|NW_017844724.1|:24670146:24671011:+	660	866	866	TRUE
gi|1127432401|ref|NC_032650.1|:121919555:121921829:+	504	2273	504	FALSE
gi|1127432401|ref|NC_032650.1|:147937452:147938454:-	46	984	46	FALSE
gi|1127425672|ref|NW_017844710.1|:4344419:4345317:+	17	865	17	FALSE
gi|1127425672|ref|NW_017844710.1|:69665289:69668310:+	3	1376	3	FALSE
gi|1127425672|ref|NW_017844710.1|:69665289:69668310:+	1888	3000	1888	FALSE
gi|1127425672|ref|NW_017844710.1|:77191581:77194235:-	297	2630	2630	TRUE
gi|1127425669|ref|NW_017844713.1|:110104272:110106353:-	401	2080	2080	TRUE
gi|1127425668|ref|NW_017844714.1|:38586290:38589614:-	19	3159	3159	TRUE
gi|1127425668|ref|NW_017844714.1|:82729322:82732619:+	6	938	6	FALSE
gi|1127425668|ref|NW_017844714.1|:82729322:82732619:+	941	2809	941	FALSE
gi|1127425668|ref|NW_017844714.1|:82729322:82732619:+	2850	3097	3098	TRUE
gi|1127425668|ref|NW_017844714.1|:82729322:82732619:+	3099	3298	3298	TRUE
gi|1127415521|ref|NW_017844738.1|:32021933:32023622:+	7	1425	7	FALSE
gi|1127415521|ref|NW_017844738.1|:32021933:32023622:+	1428	1688	1428	FALSE
gi|550711787|ref|NW_005392887.1|:88253:90752:-	2	1068	1915	TRUE
gi|550711787|ref|NW_005392887.1|:88253:90752:-	1916	2358	2358	TRUE
gi|550711787|ref|NW_005392887.1|:88253:90752:-	2359	2460	2460	TRUE
gi|550711764|ref|NW_005392910.1|:2072488:2075150:+	63	2573	63	FALSE
gi|550711761|ref|NW_005392913.1|:545597:547634:+	3	2036	3	FALSE
gi|550711525|ref|NW_005393094.1|:424488:427076:+	135	2447	135	FALSE
gi|550711525|ref|NW_005393094.1|:424488:427076:+	2450	2587	2450	FALSE
gi|550711085|ref|NW_005393395.1|:2254300:2255486:-	44	982	982	TRUE
gi|550711085|ref|NW_005393395.1|:2254300:2255486:-	987	1187	1187	TRUE
gi|550710094|ref|NW_005393940.1|:35674:37598:+	3	1211	3	FALSE
gi|550710094|ref|NW_005393940.1|:35674:37598:+	1214	1897	1214	FALSE
gi|551721470|ref|NW_005784807.1|:766585:769876:-	19	3003	3003	TRUE
gi|551721470|ref|NW_005784807.1|:766585:769876:-	3006	3137	3137	TRUE
gi|551720569|ref|NW_005785702.1|:971210:973514:-	4	394	645	TRUE
gi|551720569|ref|NW_005785702.1|:971210:973514:-	646	1642	1642	TRUE
gi|551720569|ref|NW_005785702.1|:971210:973514:-	1647	1709	1709	TRUE
gi|289737792|ref|NW_003184428.1|:322246:323890:-	252	1643	1643	TRUE
gi|290467391|ref|NC_013913.1|:1001794:1003104:+	1	682	1	FALSE
gi|290467391|ref|NC_013913.1|:1001794:1003104:+	772	829	683	FALSE
gi|290467391|ref|NC_013913.1|:1001794:1003104:+	831	1046	831	FALSE
gi|289738953|ref|NW_003183267.1|:6416675:6420520:-	2	3688	3688	TRUE
gi|289738953|ref|NW_003183267.1|:6416675:6420520:-	3742	3846	3846	TRUE
gi|289738491|ref|NW_003183729.1|:598368:599480:-	192	1052	1052	TRUE
gi|289738457|ref|NW_003183763.1|:3387435:3388814:-	234	1379	1379	TRUE
gi|290467386|ref|NC_013918.1|:53606481:53609392:-	217	2874	2874	TRUE
gi|616209278|ref|NW_006890079.1|:4037127:4038040:-	164	883	883	TRUE
gi|616209278|ref|NW_006890079.1|:5689165:5690120:+	2	754	2	FALSE
gi|616201062|ref|NW_006890095.1|:2726608:2728245:-	134	1621	1621	TRUE
gi|616192026|ref|NW_006890120.1|:4136799:4137866:-	163	810	810	TRUE
gi|616192026|ref|NW_006890120.1|:4136799:4137866:-	842	1066	1066	TRUE
gi|741194501|ref|NW_011511141.1|:1472275:1476629:-	324	4118	4118	TRUE
gi|741192033|ref|NW_011512521.1|:7160337:7165181:-	323	4117	4117	TRUE
gi|741192033|ref|NW_011512521.1|:7160337:7165181:-	4528	4845	4845	TRUE
gi|558499588|ref|NW_006210771.1|:2147513:2151149:+	100	3060	100	FALSE
gi|558499408|ref|NW_006210951.1|:1193634:1194946:-	2	1312	1312	TRUE
CM003214.1:45471596:45473194:+	37	1425	37	FALSE
CM003214.1:45471596:45473194:+	1427	1597	1427	FALSE
CM003226.1:3468870:3472294:+	316	627	316	FALSE
CM003226.1:3468870:3472294:+	633	3410	633	FALSE
CM003236.1:7233297:7236699:-	150	3131	3131	TRUE
CM003240.1:28519894:28521341:-	2	501	502	TRUE
CM003240.1:28519894:28521341:-	503	1113	1113	TRUE
CM003240.1:28519894:28521341:-	1119	1409	1409	TRUE
CM003240.1:50475425:50477302:-	2	1357	1357	TRUE
CM003224.1:70765873:70767627:-	91	891	891	TRUE
CM003224.1:70765873:70767627:-	1331	1645	1645	TRUE
NC_030808.1:103889663:103893042:-	223	926	223	FALSE
NC_030808.1:103889663:103893042:-	937	3362	927	FALSE
NC_030810.1:110793465:110796837:-	244	3360	244	FALSE
NC_030814.1:87661486:87664877:-	224	1825	224	FALSE
NC_030814.1:87661486:87664877:-	1828	3135	1828	FALSE
NC_030814.1:87661486:87664877:-	3141	3326	3141	FALSE
NC_030819.1:41369887:41373243:+	19	3045	3045	TRUE
NC_030819.1:41369887:41373243:+	3048	3167	3167	TRUE
NC_030823.1:41104962:41107401:-	4	1788	1788	TRUE
NC_030823.1:41104962:41107401:-	1790	1903	1903	TRUE
NC_030828.1:53089149:53091704:-	71	2554	2554	TRUE
NC_030831.1:48557187:48560980:-	61	2994	2994	TRUE
NC_030831.1:48557187:48560980:-	3002	3124	3124	TRUE
NW_017189516.1:331667:335468:-	32	2818	2818	TRUE
NW_017189516.1:331667:335468:-	2827	3129	3129	TRUE
CCMK010028049.1:5696:6703:-	12	1007	1007	TRUE
CCMK010332445.1:1:1115:-	16	930	930	TRUE
CCMK010332445.1:1:1115:-	932	1114	1114	TRUE
gi|469501172|ref|NW_004454156.1|:2897078:2898657:+	417	550	417	FALSE
gi|469501172|ref|NW_004454156.1|:2897078:2898657:+	552	1044	551	FALSE
gi|469501172|ref|NW_004454156.1|:2897078:2898657:+	1385	1575	1045	FALSE
gi|778163465|ref|NW_012000820.1|:3125929:3126945:+	1	1017	1	FALSE
gi|778162914|ref|NW_012000909.1|:5955849:5958415:+	3	620	3	FALSE
gi|778162914|ref|NW_012000909.1|:5955849:5958415:+	623	1662	623	FALSE
gi|778162914|ref|NW_012000909.1|:5955849:5958415:+	2027	2319	1663	FALSE
gi|778162031|ref|NW_012001053.1|:1209194:1211092:-	235	1899	1899	TRUE
gi|778160952|ref|NW_012001231.1|:130988:133576:+	1	2325	1	FALSE
gi|778160198|ref|NW_012001340.1|:3921573:3923502:-	65	607	607	TRUE
gi|778160198|ref|NW_012001340.1|:3921573:3923502:-	609	1922	1922	TRUE
gi|778154567|ref|NW_012002181.1|:29488900:29489804:+	1	559	1	FALSE
gi|778154567|ref|NW_012002181.1|:29488900:29489804:+	598	904	560	FALSE
gi|778153106|ref|NW_012002401.1|:19334702:19336311:-	2	1609	1609	TRUE
gi|778120963|ref|NW_012005490.1|:173060:174728:+	79	1668	79	FALSE
gi|778120963|ref|NW_012005490.1|:18328874:18331306:+	1	1569	1	FALSE
gi|778120963|ref|NW_012005490.1|:18328874:18331306:+	1571	2326	1571	FALSE
gi|778117074|ref|NW_012006154.1|:9428274:9430128:-	239	1855	1855	TRUE
gi|778113101|ref|NW_012006924.1|:4284392:4286717:+	1	1224	1	FALSE
gi|778113101|ref|NW_012006924.1|:4284392:4286717:+	1226	1469	1226	FALSE
gi|778113101|ref|NW_012006924.1|:4284392:4286717:+	1913	2123	1470	FALSE
gi|778101509|ref|NW_012008362.1|:37421660:37423789:-	344	2125	2125	TRUE
CM008011.1:41114259:41115178:-	39	371	371	TRUE
CM008011.1:41114259:41115178:-	380	916	916	TRUE
CM008018.1:107299048:107299791:-	30	740	740	TRUE
CM008022.1:42777527:42778292:+	3	734	3	FALSE
CM008022.1:52171762:52173142:-	2	1081	1081	TRUE
CM008025.1:64130520:64134102:-	28	3114	3114	TRUE
CM008028.1:53358236:53359347:-	1	657	657	TRUE
CM008028.1:53358236:53359347:-	663	841	845	TRUE
CM008028.1:53358236:53359347:-	846	1111	1111	TRUE
CM008030.1:10045750:10046974:-	39	1223	1223	TRUE
CM008031.1:40178221:40178934:+	1	687	1	FALSE
CM008037.1:12016930:12017766:+	8	817	8	FALSE
CM008040.1:100467768:100469284:+	141	1345	141	FALSE
CM008040.1:100467768:100469284:+	1368	1516	1346	FALSE
gi|588684013|ref|NW_006659396.1|:407341:407892:-	3	551	551	TRUE
gi|619433672|ref|NW_006735256.1|:37896354:37896796:+	12	443	12	FALSE
gi|619433206|ref|NW_006735261.1|:13698106:13703492:-	229	4047	4047	TRUE
gi|619433206|ref|NW_006735261.1|:13698106:13703492:-	4706	5125	5125	TRUE
gi|619434575|ref|NW_006735239.1|:43614174:43615089:+	3	815	3	FALSE
gi|619434575|ref|NW_006735239.1|:43614174:43615089:+	818	910	818	FALSE
gi|619434484|ref|NW_006735250.1|:47845462:47846467:+	1	1005	1	FALSE
gi|829764792|ref|NW_012217743.1|:10543971:10545342:+	85	220	85	FALSE
gi|829764792|ref|NW_012217743.1|:10543971:10545342:+	256	1087	221	FALSE
gi|829762302|ref|NW_012217984.1|:242954:244531:-	220	1578	1578	TRUE
gi|829750275|ref|NW_012219298.1|:1304376:1306455:+	1	1881	1	FALSE
gi|829748455|ref|NW_012219467.1|:930935:932097:+	1	1158	1	FALSE
gi|829744199|ref|NW_012219765.1|:550572:551061:-	12	488	488	TRUE
gi|829742960|ref|NW_012219890.1|:93843:94886:+	6	1043	6	FALSE
gi|829737603|ref|NW_012220424.1|:1816:2825:+	2	1009	2	FALSE
gi|829730067|ref|NW_012221149.1|:3209814:3210526:+	3	169	3	FALSE
gi|829730067|ref|NW_012221149.1|:3209814:3210526:+	192	676	170	FALSE
gi|829728267|ref|NW_012221319.1|:5159691:5160635:-	237	944	944	TRUE
gi|829727025|ref|NW_012221420.1|:990452:992028:+	1	1359	1	FALSE
gi|829723103|ref|NW_012221794.1|:1965781:1966439:-	4	654	654	TRUE
gi|829716739|ref|NW_012222543.1|:57935:59511:-	219	1577	1577	TRUE
gi|829716577|ref|NW_012222569.1|:2114983:2115797:-	115	810	810	TRUE
gi|829716477|ref|NW_012222586.1|:831244:832835:+	3	1376	3	FALSE
gi|829713169|ref|NW_012223117.1|:561057:561514:-	4	453	453	TRUE
gi|829711720|ref|NW_012223507.1|:67047:68261:-	40	1215	1215	TRUE
gi|786098213|ref|NW_012111919.1|:5372127:5374408:+	3	1923	3	FALSE
gi|786098213|ref|NW_012111919.1|:5372127:5374408:+	1935	2043	1924	FALSE
gi|786084119|ref|NW_012114544.1|:2318960:2320561:+	6	143	6	FALSE
gi|786084119|ref|NW_012114544.1|:2318960:2320561:+	407	644	407	FALSE
gi|786084119|ref|NW_012114544.1|:2318960:2320561:+	677	1598	645	FALSE
gi|786082947|ref|NW_012114688.1|:5027130:5029298:+	2	1930	2	FALSE
gi|786082488|ref|NW_012114722.1|:4713611:4715215:+	1	1362	1	FALSE
